Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging rapid devices by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,,,
,,Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",,,,,,,,,,,,,,
E08000003,Manchester,15,2.7,13,2.4,10,1.8,10,1.8,14,2.5,13,2.4,13,2.4,14,2.6,,,,,,,,,,,,,,
E08000004,Oldham,6,2.5,4,1.7,4,1.7,4,1.7,3,1.3,3,1.3,1,0.4,0,0.0,,,,,,,,,,,,,,
E08000005,Rochdale,5,2.2,8,3.6,8,3.6,8,3.6,8,3.6,8,3.6,6,2.7,7,3.2,,,,,,,,,,,,,,
E08000006,Salford,13,4.9,13,5.0,13,5.0,10,3.9,11,4.2,11,4.3,9,3.5,9,3.5,,,,,,,,,,,,,,
E08000007,Stockport,16,5.4,16,5.5,15,5.1,14,4.8,9,3.1,9,3.1,7,2.4,3,1.0,,,,,,,,,,,,,,
E08000008,Tameside,9,4.0,6,2.6,5,2.2,4,1.8,5,2.2,4,1.8,4,1.8,4,1.8,,,,,,,,,,,,,,
E08000009,Trafford,2,0.8,2,0.8,2,0.8,2,0.8,1,0.4,1,0.4,1,0.4,1,0.4,,,,,,,,,,,,,,
E08000010,Wigan,13,3.9,11,3.3,9,2.7,8,2.4,7,2.1,6,1.8,4,1.2,4,1.2,,,,,,,,,,,,,,
E10000017,Lancashire,110,9.0,107,8.8,97,8.0,95,7.8,94,7.7,89,7.4,80,6.6,71,5.9,,,,,,,,,,,,,,
E07000117,Burnley,3,3.4,3,3.4,3,3.4,3,3.4,3,3.4,2,2.3,1,1.1,1,1.1,,,,,,,,,,,,,,
E07000118,Chorley,21,17.7,20,16.9,20,16.9,20,16.9,20,16.9,20,17.1,20,17.1,20,17.1,,,,,,,,,,,,,,
E07000119,Fylde,3,3.7,3,3.7,3,3.7,3,3.7,3,3.7,3,3.8,3,3.8,1,1.3,,,,,,,,,,,,,,
E07000120,Hyndburn,7,8.6,6,7.4,6,7.4,6,7.4,5,6.2,5,6.2,3,3.7,3,3.7,,,,,,,,,,,,,,
E07000121,Lancaster,13,8.8,13,8.9,13,8.9,12,8.2,12,8.2,12,8.3,6,4.2,6,4.2,,,,,,,,,,,,,,
E07000122,Pendle,5,5.4,5,5.4,5,5.4,5,5.4,5,5.4,5,5.5,5,5.5,5,5.5,,,,,,,,,,,,,,
E07000123,Preston,14,9.7,14,9.8,13,9.1,13,9.1,13,9.1,11,7.8,11,7.8,8,5.6,,,,,,,,,,,,,,
E07000124,Ribble Valley,1,1.6,1,1.6,1,1.6,1,1.6,1,1.6,1,1.7,1,1.7,1,1.7,,,,,,,,,,,,,,
E07000125,Rossendale,2,2.8,2,2.8,2,2.8,2,2.8,2,2.8,1,1.4,1,1.4,0,0.0,,,,,,,,,,,,,,
E07000126,South Ribble,12,10.8,12,10.8,11,9.9,10,9.0,10,9.0,10,9.0,10,9.0,10,9.0,,,,,,,,,,,,,,
E07000127,West Lancashire,18,15.7,18,15.7,10,8.7,10,8.7,10,8.7,10,8.8,10,8.8,9,7.9,,,,,,,,,,,,,,
E07000128,Wyre,11,9.7,10,8.9,10,8.9,10,8.9,10,8.9,9,8.1,9,8.1,7,6.3,,,,,,,,,,,,,,
E11000002,Merseyside (Met County),36,2.5,32,2.2,30,2.1,31,2.2,28,2.0,27,1.9,24,1.7,20,1.4,,,,,,,,,,,,,,
E08000011,Knowsley,5,3.3,5,3.3,5,3.3,5,3.3,4,2.7,4,2.7,3,2.0,3,2.0,,,,,,,,,,,,,,
E08000012,Liverpool,12,2.4,10,2.0,10,2.0,11,2.2,10,2.0,10,2.0,9,1.8,8,1.6,,,,,,,,,,,,,,
E08000014,Sefton,8,2.9,7,2.5,5,1.8,5,1.8,5,1.8,5,1.8,5,1.8,3,1.1,,,,,,,,,,,,,,
E08000013,St. Helens,6,3.3,6,3.3,6,3.3,6,3.3,6,3.3,5,2.8,4,2.2,3,1.7,,,,,,,,,,,,,,
E08000015,Wirral,5,1.5,4,1.2,4,1.2,4,1.2,3,0.9,3,0.9,3,0.9,3,0.9,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,341,6.2,332,6.0,311,5.7,280,5.1,248,4.5,228,4.2,182,3.3,150,2.7,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,7,2.0,7,2.1,7,2.1,7,2.1,7,2.1,6,1.8,1,0.3,2,0.6,,,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",8,3.1,8,3.1,8,3.1,8,3.1,6,2.3,6,2.3,5,1.9,4,1.5,,,,,,,,,,,,,,
E06000012,North East Lincolnshire,7,4.4,6,3.8,6,3.8,6,3.8,6,3.8,5,3.1,3,1.9,4,2.5,,,,,,,,,,,,,,
E06000013,North Lincolnshire,3,1.7,3,1.7,3,1.7,2,1.2,3,1.7,3,1.7,2,1.2,2,1.2,,,,,,,,,,,,,,
E06000014,York,13,6.2,13,6.2,14,6.6,13,6.2,13,6.2,13,6.2,13,6.2,13,6.2,,,,,,,,,,,,,,
E10000023,North Yorkshire,41,6.6,44,7.1,43,7.0,42,6.8,34,5.5,32,5.2,28,4.6,25,4.1,,,,,,,,,,,,,,
E07000163,Craven,4,7.0,4,7.0,4,7.0,4,7.0,2,3.5,1,1.8,1,1.8,1,1.8,,,,,,,,,,,,,,
E07000164,Hambleton,10,10.9,10,10.9,10,10.9,10,10.9,5,5.5,4,4.4,2,2.2,2,2.2,,,,,,,,,,,,,,
E07000165,Harrogate,11,6.8,14,8.7,14,8.7,14,8.7,13,8.1,13,8.1,12,7.5,9,5.6,,,,,,,,,,,,,,
E07000166,Richmondshire,10,18.6,10,18.6,10,18.6,10,18.6,10,18.6,10,18.8,10,18.8,10,18.8,,,,,,,,,,,,,,
E07000167,Ryedale,3,5.4,3,5.4,3,5.4,3,5.4,3,5.4,3,5.5,2,3.6,2,3.6,,,,,,,,,,,,,,
E07000168,Scarborough,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,,,,,,,,,,,,,,
E07000169,Selby,2,2.2,2,2.2,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E11000003,South Yorkshire (Met County),87,6.1,86,6.1,74,5.3,68,4.8,62,4.4,61,4.3,50,3.6,45,3.2,,,,,,,,,,,,,,
E08000016,Barnsley,6,2.4,6,2.4,6,2.4,6,2.4,5,2.0,5,2.0,3,1.2,2,0.8,,,,,,,,,,,,,,
E08000017,Doncaster,18,5.8,18,5.8,17,5.5,15,4.8,13,4.2,13,4.2,11,3.5,11,3.5,,,,,,,,,,,,,,
E08000018,Rotherham,28,10.6,29,10.9,28,10.5,28,10.5,26,9.8,25,9.4,24,9.1,24,9.1,,,,,,,,,,,,,,
E08000019,Sheffield,35,5.9,33,5.6,23,3.9,19,3.2,18,3.1,18,3.1,12,2.1,8,1.4,,,,,,,,,,,,,,
E11000006,West Yorkshire (Met County),175,7.5,165,7.1,156,6.7,134,5.7,117,5.0,102,4.4,80,3.4,55,2.4,,,,,,,,,,,,,,
E08000032,Bradford,42,7.7,38,7.0,37,6.9,33,6.1,28,5.2,25,4.7,21,3.9,10,1.9,,,,,,,,,,,,,,
E08000033,Calderdale,17,8.0,17,8.0,18,8.5,13,6.1,13,6.1,13,6.2,9,4.3,7,3.3,,,,,,,,,,,,,,
E08000034,Kirklees,20,4.5,18,4.1,17,3.9,15,3.4,9,2.0,9,2.1,6,1.4,6,1.4,,,,,,,,,,,,,,
E08000035,Leeds,66,8.3,63,7.9,56,7.1,48,6.1,46,5.8,35,4.4,27,3.4,21,2.7,,,,,,,,,,,,,,
E08000036,Wakefield,30,8.5,29,8.3,28,8.0,25,7.2,21,6.0,20,5.8,17,4.9,11,3.2,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,311,6.4,300,6.2,261,5.4,231,4.8,213,4.4,202,4.2,179,3.7,128,2.7,,,,,,,,,,,,,,
E06000015,Derby,19,7.4,17,6.6,14,5.4,14,5.4,13,5.1,13,5.1,13,5.1,8,3.1,,,,,,,,,,,,,,
E06000016,Leicester,1,0.3,3,0.8,3,0.8,3,0.8,3,0.8,2,0.6,2,0.6,2,0.6,,,,,,,,,,,,,,
E06000061,North Northamptonshire (from April 2021),16,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
E06000018,Nottingham,48,14.2,49,14.7,46,13.8,32,9.6,28,8.4,28,8.5,28,8.5,24,7.2,,,,,,,,,,,,,,
E06000017,Rutland (from April 2021),3,7.4,3,7.5,1,2.5,1,2.5,1,2.5,1,2.5,0,0.0,0,0.0,,,,,,,,,,,,,,
E06000062,West Northamptonshire,24,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
E10000007,Derbyshire,54,6.7,51,6.4,38,4.7,37,4.6,34,4.2,31,3.9,23,2.9,12,1.5,,,,,,,,,,,,,,
E07000032,Amber Valley,5,3.9,4,3.1,4,3.1,4,3.1,4,3.1,4,3.2,2,1.6,1,0.8,,,,,,,,,,,,,,
E07000033,Bolsover,16,19.7,14,17.4,5,6.2,5,6.2,5,6.2,5,6.3,5,6.3,4,5.0,,,,,,,,,,,,,,
E07000034,Chesterfield,7,6.7,7,6.7,5,4.8,5,4.8,7,6.7,5,4.8,5,4.8,1,1.0,,,,,,,,,,,,,,
E07000035,Derbyshire Dales,1,1.4,1,1.4,1,1.4,1,1.4,1,1.4,2,2.8,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000036,Erewash,9,7.8,9,7.8,7,6.1,7,6.1,6,5.2,6,5.2,4,3.5,3,2.6,,,,,,,,,,,,,,
E07000037,High Peak,10,10.8,9,9.7,9,9.7,8,8.6,4,4.3,2,2.2,1,1.1,0,0.0,,,,,,,,,,,,,,
E07000038,North East Derbyshire,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,0,0.0,,,,,,,,,,,,,,
E07000039,South Derbyshire,4,3.7,5,4.7,5,4.7,5,4.7,5,4.7,5,4.8,4,3.8,3,2.9,,,,,,,,,,,,,,
E10000018,Leicestershire,33,4.6,21,3.0,17,2.4,17,2.4,16,2.3,15,2.1,11,1.6,10,1.4,,,,,,,,,,,,,,
E07000129,Blaby,13,12.8,5,4.9,5,4.9,5,4.9,4,3.9,4,4.0,4,4.0,4,4.0,,,,,,,,,,,,,,
E07000130,Charnwood,6,3.2,4,2.2,3,1.6,3,1.6,4,2.2,3,1.6,3,1.6,2,1.1,,,,,,,,,,,,,,
E07000131,Harborough,3,3.1,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,2,2.2,2,2.2,,,,,,,,,,,,,,
E07000132,Hinckley and Bosworth,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000133,Melton,2,3.9,2,3.9,2,3.9,2,3.9,2,3.9,2,3.9,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000134,North West Leicestershire,3,2.9,2,1.9,2,1.9,2,1.9,2,1.9,2,2.0,2,2.0,2,2.0,,,,,,,,,,,,,,
E07000135,Oadby and Wigston,5,8.7,4,7.0,1,1.8,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E10000019,Lincolnshire,37,4.8,54,7.1,52,6.8,49,6.4,42,5.5,40,5.3,38,5.0,29,3.8,,,,,,,,,,,,,,
E07000136,Boston,5,7.1,5,7.1,5,7.1,5,7.1,1,1.4,1,1.4,1,1.4,1,1.4,,,,,,,,,,,,,,
E07000137,East Lindsey,6,4.2,6,4.2,6,4.2,6,4.2,5,3.5,5,3.6,5,3.6,4,2.8,,,,,,,,,,,,,,
E07000138,Lincoln,10,10.0,9,9.1,9,9.1,6,6.0,6,6.0,5,5.0,3,3.0,2,2.0,,,,,,,,,,,,,,
E07000139,North Kesteven,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000140,South Holland,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000141,South Kesteven,8,5.6,26,18.3,26,18.3,26,18.3,24,16.9,23,16.2,23,16.2,15,10.6,,,,,,,,,,,,,,
E07000142,West Lindsey,8,8.3,8,8.4,6,6.3,6,6.3,6,6.3,6,6.3,6,6.3,7,7.4,,,,,,,,,,,,,,
E10000021,Northamptonshire (abolished April 2021),-,-,37,4.9,33,4.4,32,4.2,30,4.0,30,4.0,29,3.9,23,3.1,,,,,,,,,,,,,,
E07000150,Corby (abolished April 2021),-,-,4,5.5,4,5.5,4,5.5,4,5.5,4,5.6,4,5.6,4,5.6,,,,,,,,,,,,,,
E07000151,Daventry (abolished April 2021),-,-,6,7.0,6,7.0,6,7.0,6,7.0,6,7.1,6,7.1,6,7.1,,,,,,,,,,,,,,
E07000152,East Northamptonshire (abolished April 2021),-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000153,Kettering (abolished April 2021),-,-,8,7.9,4,3.9,3,2.9,3,2.9,3,3.0,3,3.0,2,2.0,,,,,,,,,,,,,,
E07000154,Northampton (abolished April 2021),-,-,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,1,0.4,0,0.0,,,,,,,,,,,,,,
E07000155,South Northamptonshire (abolished April 2021),-,-,14,14.8,14,14.8,14,14.8,13,13.8,13,14.1,13,14.1,9,9.7,,,,,,,,,,,,,,
E07000156,Wellingborough (abolished April 2021),-,-,3,3.8,3,3.8,3,3.8,2,2.5,2,2.5,2,2.5,2,2.5,,,,,,,,,,,,,,
E10000024,Nottinghamshire,76,9.1,65,7.8,57,6.9,46,5.6,46,5.6,42,5.1,35,4.3,20,2.4,,,,,,,,,,,,,,
E07000170,Ashfield,4,3.1,4,3.1,2,1.6,2,1.6,2,1.6,2,1.6,3,2.4,1,0.8,,,,,,,,,,,,,,
E07000171,Bassetlaw,19,16.1,19,16.2,19,16.2,12,10.2,13,11.1,13,11.1,8,6.8,4,3.4,,,,,,,,,,,,,,
E07000172,Broxtowe,8,7.0,7,6.1,7,6.1,7,6.1,7,6.1,7,6.2,6,5.3,6,5.3,,,,,,,,,,,,,,
E07000173,Gedling,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,4,3.4,3,2.5,,,,,,,,,,,,,,
E07000174,Mansfield,11,10.1,10,9.1,9,8.2,7,6.4,6,5.5,6,5.5,8,7.4,3,2.8,,,,,,,,,,,,,,
E07000175,Newark and Sherwood,11,8.9,9,7.4,9,7.4,7,5.7,7,5.7,6,4.9,4,3.3,1,0.8,,,,,,,,,,,,,,
E07000176,Rushcliffe,18,14.8,11,9.2,6,5.0,6,5.0,6,5.0,3,2.5,2,1.7,2,1.7,,,,,,,,,,,,,,
E12000005,WEST MIDLANDS,427,7.2,384,6.5,352,5.9,321,5.4,281,4.7,275,4.7,258,4.4,229,3.9,,,,,,,,,,,,,,
E06000019,"Herefordshire, County of",13,6.7,10,5.2,10,5.2,9,4.7,7,3.6,7,3.6,6,3.1,5,2.6,,,,,,,,,,,,,,
E06000051,Shropshire,21,6.5,21,6.5,21,6.5,19,5.9,19,5.9,17,5.3,17,5.3,14,4.4,,,,,,,,,,,,,,
E06000021,Stoke-on-Trent,8,3.1,8,3.1,6,2.3,5,2.0,4,1.6,4,1.6,3,1.2,5,2.0,,,,,,,,,,,,,,
E06000020,Telford and Wrekin,7,3.9,5,2.8,5,2.8,5,2.8,5,2.8,4,2.2,4,2.2,2,1.1,,,,,,,,,,,,,,
E10000028,Staffordshire,85,9.6,83,9.4,81,9.2,78,8.9,52,5.9,51,5.8,45,5.1,42,4.8,,,,,,,,,,,,,,
E07000192,Cannock Chase,9,8.9,9,8.9,8,7.9,7,6.9,7,6.9,7,7.0,7,7.0,5,5.0,,,,,,,,,,,,,,
E07000193,East Staffordshire,8,6.6,6,5.0,6,5.0,5,4.2,5,4.2,5,4.2,4,3.4,4,3.4,,,,,,,,,,,,,,
E07000194,Lichfield,3,2.8,3,2.9,3,2.9,3,2.9,2,1.9,2,1.9,1,1.0,1,1.0,,,,,,,,,,,,,,
E07000195,Newcastle-under-Lyme,22,17.0,21,16.2,20,15.5,20,15.5,19,14.7,19,14.7,19,14.7,19,14.7,,,,,,,,,,,,,,
E07000196,South Staffordshire,29,25.8,31,27.6,31,27.6,31,27.6,9,8.0,8,7.1,5,4.5,5,4.5,,,,,,,,,,,,,,
E07000197,Stafford,8,5.8,8,5.8,8,5.8,7,5.1,7,5.1,7,5.2,7,5.2,7,5.2,,,,,,,,,,,,,,
E07000198,Staffordshire Moorlands,2,2.0,2,2.0,2,2.0,2,2.0,1,1.0,1,1.0,1,1.0,0,0.0,,,,,,,,,,,,,,
E07000199,Tamworth,4,5.2,3,3.9,3,3.9,3,3.9,2,2.6,2,2.6,1,1.3,1,1.3,,,,,,,,,,,,,,
E10000031,Warwickshire,91,15.6,66,11.4,50,8.7,48,8.3,44,7.6,44,7.7,43,7.5,42,7.4,,,,,,,,,,,,,,
E07000218,North Warwickshire,19,29.0,19,29.1,4,6.1,4,6.1,4,6.1,4,6.2,4,6.2,4,6.2,,,,,,,,,,,,,,
E07000219,Nuneaton and Bedworth,6,4.6,6,4.6,6,4.6,5,3.8,5,3.8,5,3.9,5,3.9,5,3.9,,,,,,,,,,,,,,
E07000220,Rugby,27,24.4,3,2.8,3,2.8,3,2.8,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000221,Stratford-on-Avon,31,23.4,31,23.8,30,23.1,29,22.3,28,21.5,28,21.9,28,21.9,28,21.9,,,,,,,,,,,,,,
E07000222,Warwick,8,5.5,7,4.9,7,4.9,7,4.9,7,4.9,7,4.9,6,4.2,5,3.5,,,,,,,,,,,,,,
E11000005,West Midlands (Met County),141,4.8,137,4.7,126,4.3,104,3.6,99,3.4,97,3.3,89,3.1,73,2.5,,,,,,,,,,,,,,
E08000025,Birmingham,31,2.7,28,2.5,27,2.4,11,1.0,13,1.1,12,1.1,10,0.9,6,0.5,,,,,,,,,,,,,,
E08000026,Coventry,45,11.9,46,12.4,43,11.6,42,11.3,39,10.5,38,10.4,34,9.3,30,8.2,,,,,,,,,,,,,,
E08000027,Dudley,11,3.4,11,3.4,11,3.4,11,3.4,11,3.4,11,3.4,9,2.8,7,2.2,,,,,,,,,,,,,,
E08000028,Sandwell,12,3.6,11,3.3,8,2.4,8,2.4,8,2.4,8,2.4,8,2.4,3,0.9,,,,,,,,,,,,,,
E08000029,Solihull,11,5.1,10,4.6,10,4.6,8,3.7,8,3.7,8,3.7,8,3.7,8,3.7,,,,,,,,,,,,,,
E08000030,Walsall,8,2.8,9,3.2,8,2.8,7,2.5,6,2.1,6,2.1,6,2.1,6,2.1,,,,,,,,,,,,,,
E08000031,Wolverhampton,23,8.7,22,8.4,19,7.2,17,6.5,14,5.3,14,5.3,14,5.3,13,5.0,,,,,,,,,,,,,,
E10000034,Worcestershire,61,10.2,54,9.1,53,8.9,53,8.9,51,8.6,51,8.6,51,8.6,46,7.8,,,,,,,,,,,,,,
E07000234,Bromsgrove,30,29.8,22,22.0,22,22.0,22,22.0,22,22.0,22,22.3,22,22.3,21,21.3,,,,,,,,,,,,,,
E07000235,Malvern Hills,4,5.0,4,5.1,4,5.1,4,5.1,4,5.1,4,5.1,4,5.1,4,5.1,,,,,,,,,,,,,,
E07000236,Redditch,2,2.3,3,3.5,3,3.5,3,3.5,2,2.3,2,2.4,2,2.4,2,2.4,,,,,,,,,,,,,,
E07000237,Worcester,7,7.0,7,6.9,7,6.9,7,6.9,6,5.9,6,5.9,6,5.9,6,5.9,,,,,,,,,,,,,,
E07000238,Wychavon,13,9.9,14,10.8,14,10.8,14,10.8,14,10.8,14,11.0,14,11.0,10,7.9,,,,,,,,,,,,,,
E07000239,Wyre Forest,5,4.9,4,3.9,3,3.0,3,3.0,3,3.0,3,3.0,3,3.0,3,3.0,,,,,,,,,,,,,,
E12000006,EAST OF ENGLAND,371,5.9,338,5.4,300,4.8,263,4.2,211,3.4,203,3.3,185,3.0,168,2.7,,,,,,,,,,,,,,
E06000055,Bedford,19,10.9,18,10.4,18,10.4,17,9.8,7,4.0,6,3.5,6,3.5,5,2.9,,,,,,,,,,,,,,
E06000056,Central Bedfordshire,11,3.7,11,3.8,10,3.5,10,3.5,9,3.1,9,3.2,8,2.8,9,3.2,,,,,,,,,,,,,,
E06000032,Luton,3,1.4,3,1.4,3,1.4,3,1.4,2,0.9,3,1.4,3,1.4,2,0.9,,,,,,,,,,,,,,
